kn,en,hi
<h1>,,
ಪಾಠ ೨:,Lesson 2:,पाठ २:
ಸಹಕಾರ,Cooperation,सहयोग
,,
Source:,Source:,स्रोत:
ಸವಿ ಕನ್ನಡ (ತರಗತಿ ೧ ಪಠ್ಯಪುಸ್ತಕ).,Savi Kannada (class 1 textbook).,सवि कन्नडा (कक्षा १ पाठ्यपुस्तक)।
,,
ಒಂದು ಊರು.,There was a village.,एक गाँव था।
ಆ ಊರಿನ ಹೆಸರು ಮಲ್ಲಿಗೆಹಳ್ಳಿ.,The village was named Malligehalli.,उस गाँव का नाम मल्लिगॆहळ्ळि था।
ಆ ಹಳ್ಳಿಯಲ್ಲಿ ಒಂದು ತೋಟವಿತ್ತು.,There was a garden in that village.,उस गाँव में एक बागीचा था।
ಆ ತೋಟದಲ್ಲಿ ಒಂದು ಕೋಳಿ ತನ್ನ ಮರಿಗಳ ಜೊತೆಯಲ್ಲಿ ವಾಸವಾಗಿತ್ತು.,A hen lived in that garden with her chicks.,उस बागीचे में एक मुर्गी अपने बच्चों के साथ में रहती थी।
ಅದೇ ತೋಟದಲ್ಲಿ ಗುಬ್ಬಚ್ಚಿ ಮತ್ತು ಪಾರಿವಾಳಗಳೂ ವಾಸವಾಗಿದ್ದವು.,A sparrow and pidgeons also lived in that garden.,उसी बागीचे में एक चिड़िया और कबूतर भी रहते थे।
,,
ಒಂದು ದಿನ ಕೋಳಿಗೆ ರಾಗಿಯ ಕಾಳುಗಳು ಸಿಕ್ಕವು.,The hen found some grains of ragi one day.,एक दिन मुर्गी को रागी के दाने मिले।
ರಾಗಿಯನ್ನು ಹೊಲದಲ್ಲಿ ಬಿತ್ತಿದರೆ ತುಂಬಾ ರಾಗಿ ಸಿಗುತ್ತದೆ ಎಂದು ಕೋಳಿಗೆ ಅನಿಸಿತು.,She thought that if we sow ragi in the field then we will get more ragi.,मुर्गी ने सोचा कि रागी को खेत में बोएँगे तो बहुत रागी मिलेगी।